numero_questao;gabarito;NU_PARAM_A;nu_param_B;NU_PARAM_C;ANO;enunciado;alternativas
87;A;2.8641;0.24521;0.19053;2023;TEXTO 1Quarto de despejo:  diário de uma faveladaCarolina Maria de JesusComo é horrivel ver um filho comer e perguntar: “Tem mais?” Esta palavra “tem mais” fica oscilando dentro do cerebro de uma mãe que olha as panela e não tem mais.TEXTO 2A experiência de ver os filhos com fome na década de 1950, descrita por Carolina, é vivida no Brasil de 2021 por uma moradora de Petrolândia, em Pernambuco.  “Eu trabalhava de ajudante de cabeleireira, mas a moça que tinha o salão fechou. Eu vinha me sustentando com o auxílio que tinha, mas agora eu não fui contemplada. Às vezes as pessoas me ajudam com alimentos para os meus filhos. De vez em quando, eu acho algum bico para fazer, mas é muito raro. Tem dias que não tenho nem o leite da minha bebê.”Considerando a realidade brasileira, os textos se aproximam ao apresentarem uma reflexão sobre o(a);"A: A recorrência da miséria; B: B planejamento da saúde; C: C superação da escassez; D: D constância da economia; E: E romantização da carência"
73;E;3.83368;0.79149;0.11063;2023;No sul da Bahia, desde o século 18, tem-se registros de um tipo de sistema agroflorestal. Até hoje, esse sistema é característica marcante da paisagem da região, conhecido como cabruca, que consiste no cultivo do cacau à sombra do dossel da floresta nativa. Esse sistema de cultivo do cacau (graças à tolerância da espécie à sombra) é considerado amigável para a vida silvestre, pois apresenta superioridade em termos de conservação da biodiversidade quando comparado com outras plantações tropicais (monoculturas de dendê, seringa ou café), agricultura ou pastagens.;"A: prática produtiva apresentada é um exemplo deA A difusão comercial de lavouras temporárias; B: B utilização sustentável dos recursos naturais; C: C ampliação tecnológica da pecuária intensiva; D: D padronização alimentar dos povos tradicionais; E: E modernização logística de plantios convencionais"
84;D;1.22847;0.57309;0.22441;2023;O moleque RicardoJosé Lins do RêgoO masseiro, a mulher, e quatro filhos, dormindo numa tapera de quatro paredes de caixão, coberta de zinco.  A água do mangue, na maré cheia, ia dentro de casa.  Os maruins de noite encalombavam o corpo dos meninos.  O mangue tinha ocasião que fedia, e os urubus faziam ponto por ali atrás dos petiscos. Perto da rua lavavam couro de boi, pele de bode para o curtume de um espanhol. Morria peixe envenenado, e quando a maré secava, os urubus enchiam o papo, ciscavam a lama, passeando banzeiros pelas biqueiras dos mocambos no Recife.;"A: aglomeração urbana representada no texto resulta em A A conservação do meio rural; B: B crescimento da vegetação ciliar; C: C interferência do espaço geográfico; D: D equilíbrio do ambiente das cidades; E: E controle da proliferação dos animais"
51;B;3.81637;0.70936;0.15459;2023;Elas foram as pioneiras dos direitos das mulheres no Afeganistão. Defensoras ferrenhas da lei, buscaram justiça para os mais marginalizados. Mas, agora, mais de 220 juízas afegãs estão escondidas por medo de retaliação sob o regime do Talibã. Uma delas condenou centenas de homens por violência contra as mulheres, incluindo estupro, assassinato e tortura. Mas poucos dias depois que o Talibã assumiu o controle de sua cidade e milhares de criminosos condenados foram libertados da prisão, as ameaças de morte começaram. O país sempre foi considerado um dos lugares mais difíceis e perigosos do mundo para as mulheres. De acordo com estudos de organizações não governamentais, cerca de 87 por cento  das mulheres e meninas serão vítimas de abuso durante a vida.O texto evidencia situação representativa de;"A: A afronta às estruturas sociais; B: B desprezo aos valores religiosos; C: C transgressão às normas morais; D: D desrespeito à dignidade humana; E: E oposição aos princípios hierárquicos"
85;C;1.74142;-0.55783;0.01877;2023;Enormes alto-falantes sul-coreanos instalados na fronteira com o Norte costumavam transmitir desde canções em estilo K-pop (como é chamado o pop sul-coreano) até boletins climáticos e noticiário crítico ao vizinho comunista. O Norte costuma praticar atividade semelhante, transmitindo por seus alto-falantes discursos críticos a Seul e aliados. Durante os anos 1980, o governo sul-coreano construiu um mastro de 97 metros de altura para hastear sua bandeira no povoado de Daesong-dong, na fronteira com o Norte. O Norte respondeu com a construção de um mastro ainda mais alto (160 metros ) na cidade fronteiriça de Gijung-dong. “Essas demonstrações são uma válvula de escape competitiva e importante entre os dois lados, fora de um possível conflito militar”, diz o analista Ankit Panda.Os atos de competição citados têm suas origens históricas vinculadas a um contexto de;"A: A domínio cultural-identitário de atores sociais; B: B disputas étnico-raciais de povos tradicionais; C: C divergências político-ideológicas de agentes estatais; D: D imposição econômico-financeira de empresas privadas; E: E protestos ecológico-sustentáveis de entidades ambientais"
74;B;3.81176;0.7442;0.24129;2023;Estudos interdisciplinares ampliam conhecimento sobre chinesice no barroco mineiroSeda, madeiras aromáticas e têxteis, obras de arte, lã, cristais e muitas, muitas peças de porcelana chegaram ao Brasil ao longo dos séculos 17  e 18 . A opulência proporcionada pelo ouro fez com que esses itens fossem ainda mais presentes em cidades mineiras como Ouro Preto, Mariana e Sabará. Esses objetos inspiraram a criação das chinesices, termo que designa um tipo de arte que evoca motivos chineses, presentes em várias igrejas barrocas de Minas Gerais. No Brasil, é bem provável que a inspiração para as pinturas nas igrejas barrocas com pássaros, elefantes, tigres, mandarins e pagodes tenha sido tirada de gravuras, tecidos, móveis e, principalmente, das porcelanas chinesas que circulavam livremente em uma sociedade enriquecida pelo comércio do ouro e pedras preciosas.O desenvolvimento do processo artístico descrito no texto foi possível pelo(a);"A: A representação arquitetônica; B: B intercâmbio transcontinental; C: C dependência econômica; D: D intervenção estatal; E: E padrão estético"
59;C;1.83018;0.5613;0.10742;2023;Txai Suruí, liderança da Juventude Indígena, profere seu discurso na abertura da COP-26“O clima está esquentando, os animais estão desaparecendo, os rios estão morrendo e nossas plantações não florescem como no passado. A Terra está falando: ela nos diz que não temos mais tempo.”O discurso da líder indígena explicita um problema global relacionado ao(à);"A: A manejo tradicional; B: B reciclagem residual; C: C consumo consciente; D: D exploração predatória; E: E reaproveitamento energético"
77;B;3.5628;0.50483;0.22204;2023;"Descrição da fotografia:  Museu de Arte de São Paulo (Masp) com imponente fachada de linhas retas no estilo arquitetônico modernista; em frente ao museu, há pessoas caminhando na calçada.Nas reportagens publicadas sobre a inauguração do Museu de Arte de São Paulo, em 1947, quando ele ainda ocupava um edifício na rua Sete de Abril, Lina Bo Bardi não foi mencionada nenhuma vez. A arquiteta era responsável pelo projeto do museu que mudaria para sempre a posição de São Paulo no circuito mundial das artes. Mas não houve nenhum registro disso. O louvor se concentrou em seu marido e parceiro profissional, o respeitado crítico de arte Pietro Maria Bardi. Passados 75 anos, a mulher então ignorada recebeu um Leão de Ouro póstumo, a maior homenagem da Bienal de Arquitetura de Veneza, e tem agora sua história contada em duas biografias de peso, que procuram destrinchar uma carreira marcada pela ousadia e pela contradição.As transformações pelas quais passaram as sociedades ocidentais, e que possibilitaram o reconhecimento recente do trabalho da arquiteta mencionada no texto, foram resultado das mobilizações sociais pela";"A: A equidade de gênero; B: B liberdade de expressão; C: C admissibilidade de voto; D: D igualdade de oportunidade; E: E reciprocidade de tratamento"
79;D;0.76651;1.69321;0.09277;2023;Descrição da fotografia:  Tecido bordado em linhas coloridas com a estampa de uma senhora no centro da imagem. A estampa está rodeada pelo desenho de um recorte espacial do Sertão e, abaixo, no tecido, está escrita a seguinte definição: “Sertão é a avó bordando caminhos com linhas coloridas”.Fotografia da avó bordadaA definição de Sertão descrita no bordado associa esse recorte espacial a ;"A: A percursos e roteiros turísticos; B: B trajetos e movimentos holísticos; C: C vivências e itinerários socioafetivos; D: D fronteiras e demarcações territoriais; E: E profissões e interesses econômicos"
61;E;3.29734;1.19128;0.15604;2023;Novo Correio de Modas , 1853Felizes tempos eram esses! As moças iam à missa de madrugada. De dia ninguém as via e se alguma, em dia de festa, queria passear com a avó ou a tia, havia de ir de cadeirinhas. Bem razão têm os nossos velhos de chorar por esses tempos, em que as filhas não sabiam escrever, e por isso não mandavam nem recebiam bilhetinhos.Na perspectiva do autor, as tradições e os costumes sociofamiliares sofreram alterações, no século 19, decorrentes de quais fatores?;"A: A Hábitos de leitura e mobilidade regional; B: B Circulação de impressos e trânsito religioso; C: C Valorização da língua e imigração estrangeira; D: D Práticas de letramento e transformação cultural; E: E Flexibilização do ensino e reformismo pedagógico"
49;D;1.18697;0.2661;0.22138;2023;No Cerrado, o conhecimento local está sendo cada vez mais subordinado à lógica do agronegócio. De um lado, o capital impõe os conhecimentos biotecnológicos, como mecanismo de universalização de práticas agrícolas e de novas tecnologias, e de outro, o modelo capitalista subordina homens e mulheres à lógica do mercado. Assim, as águas, as sementes, os minerais, as terras (bens comuns) tornam-se propriedade privada. Além do mais, há outros fatores negativos, como a mecanização pesada, a “pragatização” dos seres humanos e não humanos, a violência simbólica, a superexploração, as chuvas de veneno e a violência contra a pessoa.Os elementos descritos no texto, a respeito da territorialização da produção, demonstram que há um;"A: A cerco aos camponeses, inviabilizando a manutenção das condições para a vida; B: B descaso aos latifundiários, impactando a plantação de alimentos para a exportação; C: C desprezo ao assalariado, afetando o engajamento dos sindicatos para o trabalhador; D: D desrespeito aos governantes, comprometendo a criação de empregos para o lavrador; E: E assédio ao empresariado, dificultando o investimento de maquinários para a produção"
58;A;2.43245;0.67281;0.278;2023;TEXTO 1Com uma população de 25 milhões de habitantes (cerca de 60 por cento  de minorias muçulmanas, principalmente da etnia Uigur), Xinjiang é uma região estratégica para a China. Faz fronteira com oito países, é uma artéria crucial do megaprojeto de infraestrutura chinês Cinturão e Rota e tem as maiores reservas nacionais de carvão e gás natural. TEXTO 2Dentre as províncias da Região Oeste, Xinjiang se destaca ao receber mais de 1,7 milhão de migrantes entre 2000 e 2010. O principal motivo desse fluxo migratório é que o governo fornece subsídios à população visando aumentar a proporção de chineses da etnia Han em relação à população local de etnias turca e muçulmana. A política demográfica para a província mencionada nos textos é parte da seguinte ação estratégica do governo chinês:;"A: A Promover a ocupação rural; B: B Favorecer a liberdade religiosa; C: C Descentralizar a gestão pública; D: D Incentivar a pluralidade cultural; E: E Assegurar a integridade territorial"
82;B;1.10013;0.36112;0.3516;2023;Dialética do esclarecimentoTheodor Adorno e Max HorkheimerA diversão é o prolongamento do trabalho sob o capitalismo tardio. Ela é procurada por quem quer escapar ao processo de trabalho mecanizado para se pôr de novo em condições de enfrentá-lo. Mas, ao mesmo tempo, a mecanização atingiu um tal poderio sobre a pessoa em seu lazer e sobre a sua felicidade, ela determina tão profundamente a fabricação das mercadorias destinadas à diversão que essa pessoa não pode mais perceber outra coisa senão as cópias que reproduzem o próprio processo de trabalho. No texto, o tempo livre é concebido como;"A: A consumo de produtos culturais elaborados no mesmo sistema produtivo do capitalismo; B: B forma de realizar as diversas potencialidades da natureza humana; C: C alternativa para equilibrar tensões psicológicas do dia a dia; D: D promoção da satisfação de necessidades artificiais; E: E mecanismo de organização do ócio e do prazer"
