X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,y
0.09772969,0.013166125,-0.032748703,0.058064427,0.066659436,0.055518378,0.005533437,-0.010802587,0.124287784,-0.0101120835,0.018697912,-0.0003421853,0.0042382516,0.17983377,0.019092709,0.10614616,0.041232854,-0.10330147,-0.16051494,0.068743095,-0.09351373,0.20455028,-0.13472112,0.22530968,-0.01748603,-0.06964416,0.05745891,-0.017438289,0.060351837,0.11682356,0.18720798,-0.03620804,0.13885589,-0.17355396,0.08764132,-0.017007876,0.15299879,-0.18585967,-0.07067208,0.033274803,-0.058407247,0.14904903,-0.10342539,0.08518002,0.109059684,0.018974204,0.03798588,0.010234166,-0.07082652,-0.10457037,1.3840176726346116
-0.018823402,0.07832528,-0.016192827,0.027614556,0.080562994,-0.0014434869,-0.011481154,-0.011693998,0.046920873,-0.05318647,-0.021356557,0.061986413,0.044205733,0.13708346,-0.019851198,0.087249674,-0.026326953,0.0082555795,-0.25963613,0.101839885,-0.13937433,0.0851392,-0.043677866,0.037356753,0.04967942,-0.012548844,-0.042414293,-0.033306383,0.1369851,0.17263825,0.07172239,-0.04038063,0.06915369,-0.20133366,0.0089562,0.043646865,0.07120423,-0.091172546,0.006620933,-0.101427734,0.060602,0.10678646,0.06135638,0.13927872,0.12322454,-0.019229263,0.16733308,0.10195113,-0.02886627,-0.1093276,1.0348932553228696
-0.013062097,0.038470805,-0.020605344,0.051805753,0.062729254,-0.029428812,0.07630003,0.08186283,0.074962385,0.02968106,0.029135782,0.12456784,0.0022022803,0.11644215,-0.001276906,0.15125099,-0.094717905,-0.038001098,-0.21706174,0.1190177,-0.18652916,0.06852931,-0.04221559,0.13375421,0.11074143,-0.050020844,-0.0062572155,-0.01574938,-0.076443315,0.14935952,0.06695141,-0.0046641566,0.006604898,-0.23917247,0.0035949987,0.017618753,0.04220253,-0.039379474,0.041070938,0.0052835327,0.061806023,0.26484302,0.08096668,0.11846737,0.042563938,-0.04236847,0.10851039,0.10045138,-0.14135996,-0.054252163,2.781651427056315
-0.042833664,-0.01434522,-0.002431296,0.015723104,0.10030511,0.023463674,0.04775859,0.08824592,0.0837246,-0.059424244,-0.052274883,0.0051423777,-0.03677011,0.19115682,-0.0330296,0.10925673,-0.04494646,0.00655619,-0.22916794,0.087956026,-0.19589525,0.15590887,-0.04613994,0.12456752,0.07875865,0.043055944,0.024925347,-0.022337595,0.00082518766,0.09926031,0.186222,-0.15276825,0.099025436,-0.128568,0.036570597,0.0067249457,0.096493885,-0.13656989,-0.04395254,-0.01604492,-0.08470695,0.10425567,0.09612259,0.056715842,0.12557438,-0.014301595,0.038789924,0.018908355,-0.013033649,-0.05919981,1.0996549956511423
0.010493249,0.11095436,0.017243173,0.053192697,0.0053650257,-0.08210821,0.06302932,-0.078666046,-0.008422477,0.028745955,0.004533599,0.035029776,0.08910765,0.1687494,-0.0011413001,0.1023607,0.015977796,-0.07551585,-0.2539708,0.10223867,-0.16468868,0.10230966,-0.031262275,0.052144073,-0.0137065975,0.0054691997,0.030705016,0.020524226,0.0488035,0.21021023,0.17984927,-0.10629727,0.07375321,-0.12926376,0.0228345,-0.021796001,0.015505394,-0.0576893,0.02558045,-0.04923025,0.009678174,0.14179286,0.088591054,0.1313389,0.022100348,0.004114224,0.07587424,0.088451594,-0.058793355,-0.005871875,1.232729630430405
0.045373905,0.08738215,0.03288056,0.02180354,0.05698758,-0.018176196,0.06839394,0.0061219637,0.07258879,0.06805747,-0.11266614,-0.04918592,-0.14863709,0.035377532,-0.08681664,0.16082181,0.01871913,0.007449487,-0.1319393,0.04523314,-0.1615498,0.077218324,-0.21650557,0.26597482,0.12910496,-0.20717059,0.028091256,0.056540772,0.10044417,0.16922265,0.092274405,-0.020658879,0.047153287,-0.050938692,-0.052206386,0.117698275,0.07298403,-0.04490586,-0.33524102,0.025139445,0.089758955,0.21460621,0.016700385,0.13538912,0.0030367216,-0.009998553,0.056245744,-0.09369469,-0.17414905,-0.07471943,1.2172282110895596
0.14650428,0.17631896,0.07160624,-0.0002957513,0.02515084,0.03312598,0.08897485,-0.0074584675,0.13513109,0.11040224,0.041118883,0.1449729,0.044562377,0.06957986,-0.055221196,0.093939684,-0.0719321,-0.028284825,-0.17710501,0.19630542,-0.14477508,0.22080137,-0.11981164,0.20579648,-0.04427604,-0.04789438,-0.062250827,-0.059499174,-0.022185026,0.12038279,0.21168292,-0.09549477,0.15171497,-0.027892623,0.14870146,-0.03798902,0.011838841,-0.1249352,0.113374665,-0.036442574,0.0938461,0.083946,-0.06616246,0.042998426,0.14468458,0.1122022,-0.027223974,-0.029769046,-0.12629123,-0.06803356,1.376701570794297
0.072197504,0.14650752,-0.073269315,0.024083862,0.03645776,0.046505906,0.07562292,-0.02317547,0.09046737,0.07551,0.013752827,0.0795244,-0.033958666,0.09662377,0.036007106,0.06395551,0.013931097,-0.117033966,-0.29429638,0.0957646,-0.011804728,0.21423931,-0.10097976,0.03043309,-0.020605199,-0.014039302,-0.068952076,0.10938131,0.04671683,0.08702626,0.11002164,-0.028410107,0.20363548,-0.12544817,0.023461027,-0.10935857,0.123720236,-0.13426033,0.08847682,0.21137951,-0.08393037,0.16688041,0.011671467,0.062472902,0.17088094,0.019823093,-0.089224435,-0.0046019675,-0.057027865,0.013675634,2.5238142314915177
0.08335376,0.17491372,-0.02073447,0.024132187,-0.032268584,-0.06379269,0.10436116,-0.0832636,0.13751495,0.08430594,0.099522784,0.09754716,0.059801996,0.20422675,0.017977875,-0.023118597,-0.06740756,0.0088579375,-0.21683754,0.17220068,-0.07303796,0.09483209,-0.11484865,0.17066152,-0.014628752,-0.108643994,-0.14434554,-0.019353839,-0.05994156,0.062479995,0.15768713,-0.037482657,0.07188378,-0.12189924,0.15076274,-0.028967628,0.018101811,0.035576943,-0.052952442,-0.019705035,0.03785703,0.15829079,0.03942727,0.11820987,0.18009286,0.102152765,0.033230875,-0.10872972,-0.09621581,0.008224657,1.346688911711603
0.048936762,0.07513108,0.07155001,0.07564858,-0.0013446503,-0.06872535,0.038004145,-0.05624226,0.0006158685,0.10402889,0.14304562,0.13478531,-0.08443142,0.21569633,0.103163175,0.09477052,-0.11489366,0.0112957675,-0.19531341,0.22363777,-0.045787703,0.126612,-0.034845997,0.14309166,0.019837318,-0.10016796,-0.0717337,0.10173888,-0.023194697,0.07470548,0.05779055,0.049800728,0.07641933,-0.07969177,0.20346232,0.023957932,0.12659422,0.02451937,-0.04614949,0.06959765,0.025433216,0.12582392,0.07941526,0.1443576,0.14499854,0.054849193,0.18298733,-0.04972612,-0.19789715,-0.16867891,1.0795253742561537
0.10439347,0.07308535,0.025048496,0.032220665,-0.023874583,0.009813436,0.033903033,-0.0694981,0.1999884,0.10709407,0.11007721,0.032205906,-0.098650366,0.121139064,0.020538434,0.07215223,0.028079147,-0.029399708,-0.29492646,0.1556925,0.00071203324,0.17623417,0.03559995,0.06921129,-0.0011533502,-0.15369,-0.089158565,-0.03274729,-0.02450964,0.11003607,0.12625654,-0.052105088,0.0935809,-0.2433294,0.15709406,-0.08691908,0.029606326,-0.034297504,-0.043779366,0.13184635,0.019005649,0.07516622,-0.008442951,0.0016183855,0.1286245,0.0763251,0.067782894,0.028247032,-0.15598918,-0.074084595,1.2524843428926538
0.02488078,0.06025472,-0.017317468,0.13464606,0.008873715,-0.009551309,0.09118122,0.013062524,-0.00810425,0.016787747,0.074695446,0.10454259,0.04268816,0.20024696,-0.022909347,0.031349186,-0.033563286,0.021908375,-0.21682814,0.14733157,-0.15823099,0.16251983,-0.04657386,0.189597,-0.06469218,-0.04148025,-0.1075583,0.03049568,-0.051143244,0.15995604,0.0870644,0.007007852,0.07275738,-0.19755417,0.13512972,0.0727122,0.027278747,-0.094839156,0.087143876,-0.036421094,-0.023940502,0.13669954,0.004217091,0.06614894,0.115753345,-0.00239131,-0.019015687,0.047309287,-0.06819312,-0.08674572,1.814611991075588
-0.035866648,0.1357938,0.014721408,0.009284324,-0.04205238,0.0018022659,0.07412932,0.096359275,0.09844003,0.029111998,0.058205765,0.08667252,0.06773691,0.114409685,0.02690985,0.11679748,-0.049752332,-0.008791499,-0.20634295,0.1988477,-0.09573316,0.19507867,-0.0045078816,0.052891582,-0.051066376,-0.01940951,-0.015104115,0.020950234,0.017309178,0.13434573,0.1525884,-0.082854144,-0.014898,-0.10664795,0.06055132,-0.012552736,0.07821667,-0.11582471,-0.032577973,-0.047475845,0.037013758,0.18235305,0.07210099,0.04119858,0.23762524,0.07429085,0.04904179,0.047880948,0.008331646,-0.022986114,1.0945923035313767
0.077785484,0.1901206,-0.14605288,-0.010252573,0.1000824,0.014579077,0.15009822,0.03699195,0.11644873,0.13681372,-0.05459945,-0.05662346,-0.027709259,0.095747255,-0.0057488587,-0.0454875,-0.08157082,-0.07954936,-0.21291682,0.22471344,0.0070876814,0.16441034,-0.08441609,0.08881345,0.047513425,-0.0062865475,-0.11501699,0.095896676,0.05991429,0.0031401592,0.24024555,-0.06729781,0.0042495104,-0.21126312,0.061848063,-0.018628906,0.09607106,-0.019480828,-0.0024040886,0.07713347,-0.03934792,0.12266437,-0.09564516,-0.07827221,0.09627365,0.00912191,-0.027595771,-0.18240051,-0.15695672,-0.03740902,1.610934126558534
0.06590229,0.022037975,-0.015626095,0.027204651,-0.0343637,0.06942542,0.0065387194,-0.07153554,0.06753103,0.09383177,-0.0070095407,0.0761066,0.052381814,0.14065175,-0.0061638397,0.15380952,-0.14248976,-0.12877384,-0.23431715,0.13053551,-0.13119031,0.22720622,-0.005748767,0.11696625,-0.013123297,-0.03583481,-0.028249212,-0.035758585,-0.051268306,0.18855496,0.13514802,-0.06145642,0.16862272,-0.11307003,0.08870861,0.0314206,0.022843787,-0.06548635,0.059229713,-0.027957167,-0.012884952,0.14948274,0.0074291616,-0.014626588,0.11999191,0.032672856,0.10192099,0.08326612,-0.073659115,-0.11077921,1.3316289042565732
0.0028126126,0.13363591,-0.056037918,0.058581844,0.06756969,0.03362227,0.06572021,0.061178617,0.110292226,-0.08171104,0.004879651,0.023579694,0.01086335,0.20052539,-0.010896592,0.09756754,-0.057883028,-0.07128258,-0.22129875,0.025992006,-0.14165488,0.09835797,-0.08293147,0.08270474,-0.090188414,0.02680684,-0.08742581,0.041448805,0.040142886,0.038129285,0.113005996,-0.008113538,0.080901034,-0.15637077,-0.047087304,0.093451925,0.08635424,-0.09299231,0.020522581,-0.044183616,0.002963387,0.069801435,0.055291347,0.13738903,0.1123296,-0.070646,-0.029238585,-0.025604816,-0.002852151,-0.069255844,1.0097918746557393
